year, population
2015, 35851774.0
2014, 35543658.0
2013, 35155499.0
2012, 34751476.0
2011, 34342780.0
2010, 34005274.0
2009, 33628571.0
2008, 33245773.0
2007, 32887928.0
2006, 32570505.0
2005, 32312000.0
2004, 31995000.0
2003, 31676000.0
2002, 31362000.0
2001, 31081900.0
2000, 30769700.0
1999, 30499200.0
1998, 30247900.0
1997, 29987200.0
1996, 29671900.0
1995, 29354000.0
1994, 29111906.0
1993, 28833410.0
1992, 28519597.0
1991, 28171682.0
1990, 27791000.0
1989, 27379000.0
1988, 26895000.0
1987, 26550000.0
1986, 26204000.0
1985, 25942000.0
1984, 25702000.0
1983, 25456000.0
1982, 25202000.0
1981, 24900000.0
1980, 24593000.0
1979, 24277000.0
1978, 24036000.0
1977, 23796000.0
1976, 23518000.0
1975, 23209000.0
1974, 22774087.0
1973, 22369408.0
1972, 21993631.0
1971, 21645535.0
1970, 21324000.0
1969, 21028000.0
1968, 20744000.0
1967, 20412000.0
1966, 20048000.0
1965, 19678000.0
1964, 19325000.0
1963, 18964000.0
1962, 18614000.0
1961, 18271000.0
1960, 17909009.0
